1	A.J. Pierzynski	SFG	29.6%	81.4%	58.7%	71.3%	90.9%	86.5%	56.2%	62.2%	7.8%	9.9%	17.7%
2	Aaron Miles	COL	20.1%	62.7%	43.8%	80.6%	94.2%	91.5%	55.6%	59.5%	3.7%	21.3%	25.1%
3	Aaron Rowand	CHW	23.8%	77.9%	53.4%	48.1%	82.8%	75.8%	54.7%	64.4%	12.9%	12.3%	25.2%
4	Adam Dunn	CIN	15.7%	65.4%	39.7%	56.0%	76.1%	72.0%	48.4%	55.8%	11.0%	17.9%	28.9%
5	Adam Kennedy	ANA	18.2%	72.9%	47.5%	56.3%	85.2%	80.1%	53.6%	58.9%	9.3%	14.1%	23.5%
6	Adrián Beltré	LAD	21.9%	76.9%	50.8%	57.5%	85.2%	79.5%	52.6%	54.3%	10.3%	13.0%	23.3%
7	Albert Pujols	STL	17.3%	69.3%	43.7%	71.4%	90.9%	87.1%	50.7%	56.5%	5.6%	15.7%	21.3%
8	Alex Cintron	ARI	28.6%	73.1%	53.0%	81.7%	91.2%	88.9%	54.8%	62.3%	5.9%	15.2%	21.2%
9	Alex Gonzalez	FLA	34.0%	72.3%	54.7%	63.6%	80.1%	75.3%	53.9%	61.4%	13.4%	15.8%	29.2%
10	Alex Rodriguez	NYY	18.0%	69.8%	44.4%	49.8%	80.7%	74.6%	51.0%	55.4%	11.3%	15.9%	27.1%
11	Alfonso Soriano	TEX	29.8%	76.4%	54.5%	51.1%	82.5%	74.4%	53.0%	60.9%	13.8%	12.4%	26.3%
12	Andruw Jones	ATL	18.8%	73.3%	46.8%	52.0%	72.9%	68.8%	51.3%	59.9%	14.5%	14.5%	29.0%
13	Angel Berroa	KCR	28.1%	68.9%	50.1%	68.5%	85.8%	81.3%	54.0%	57.4%	9.3%	18.6%	28.0%
14	Aramis Ramirez	CHC	20.5%	79.4%	51.5%	68.9%	86.4%	83.1%	52.5%	57.4%	8.6%	11.9%	20.5%
