1	Adley Rutschman	BAL	27.0%	62.0%	41.0%	77.1%	92.4%	86.3%	40.0%	56.0%	5.6%	20.1%	25.7%
2	Adolis García	TEX	33.0%	74.3%	48.6%	58.5%	78.9%	70.3%	37.8%	57.6%	14.4%	14.1%	28.5%
3	Alec Bohm	PHI	34.3%	70.1%	49.9%	74.6%	90.7%	84.4%	43.5%	60.4%	7.8%	15.2%	23.0%
4	Alex Bregman	HOU	22.3%	63.3%	38.7%	74.7%	94.1%	87.4%	40.1%	60.6%	4.9%	19.5%	24.4%
5	Alex Verdugo	BOS	25.2%	58.6%	40.8%	70.2%	94.3%	86.3%	46.5%	58.3%	5.6%	21.7%	27.2%
6	Amed Rosario	2 Tms	42.9%	69.9%	53.4%	68.5%	88.1%	78.5%	39.0%	67.5%	11.4%	14.9%	26.3%
7	Andrés Giménez	CLE	42.7%	70.4%	53.9%	68.9%	84.4%	77.1%	40.4%	59.6%	12.4%	13.5%	25.9%
8	Andrew Benintendi	CHW	31.8%	70.9%	48.8%	75.1%	87.2%	82.8%	43.6%	61.5%	8.4%	14.7%	23.1%
9	Andrew Vaughn	CHW	34.9%	66.6%	47.5%	64.0%	89.4%	78.1%	39.6%	62.8%	10.4%	17.6%	28.0%
10	Anthony Santander	BAL	37.7%	67.8%	49.1%	70.8%	85.9%	78.7%	37.8%	62.6%	10.4%	15.9%	26.4%
11	Anthony Volpe	NYY	32.0%	68.5%	47.6%	57.7%	83.9%	73.8%	42.7%	62.6%	12.5%	17.1%	29.6%
12	Austin Hays	BAL	33.6%	65.3%	46.5%	55.9%	86.7%	73.5%	40.7%	62.9%	12.3%	18.2%	30.5%
13	Austin Riley	ATL	31.0%	71.9%	48.2%	59.6%	83.1%	74.3%	42.0%	61.0%	12.4%	15.0%	27.4%
14	Bo Bichette	TOR	40.8%	78.4%	56.6%	69.4%	90.7%	81.8%	42.0%	63.2%	10.3%	11.4%	21.7%
15	Bobby Witt Jr.	KCR	34.4%	73.3%	50.4%	68.4%	86.2%	79.1%	41.3%	62.3%	10.5%	15.0%	25.5%
16	Brandon Drury	LAA	38.3%	70.6%	51.7%	56.4%	84.0%	72.0%	41.4%	62.7%	14.5%	15.3%	29.8%
17	Brandon Nimmo	NYM	24.0%	64.5%	42.3%	64.8%	88.1%	80.8%	45.2%	62.6%	8.1%	20.1%	28.2%
18	Brent Rooker	OAK	32.0%	66.4%	46.1%	44.9%	78.6%	64.9%	41.1%	59.7%	16.2%	16.6%	32.9%
